Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2012","2012","ha","776000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2013","2013","ha","796000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2014","2014","ha","802570","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2015","2015","ha","822000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2016","2016","ha","841000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2017","2017","ha","860000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2018","2018","ha","884000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2019","2019","ha","866000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1990","1990","ha","990600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1991","1991","ha","962200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1992","1992","ha","953900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1993","1993","ha","915600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1994","1994","ha","794100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1995","1995","ha","890800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1996","1996","ha","824000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1997","1997","ha","757400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1998","1998","ha","857800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1999","1999","ha","792800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","2000","2000","ha","724500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","2001","2001","ha","777500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","2002","2002","ha","659500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","2003","2003","ha","701600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","2004","2004","ha","657000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","2005","2005","ha","616500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","2006","2006","ha","629900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","2007","2007","ha","646200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","2008","2008","ha","602600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","2009","2009","ha","705700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","2010","2010","ha","623800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","2011","2011","ha","705400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","2012","2012","ha","643000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","2013","2013","ha","695000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","2014","2014","ha","673500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","2015","2015","ha","707000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","2016","2016","ha","590000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","2017","2017","ha","656250","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","2018","2018","ha","660800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","2019","2019","ha","575600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","782","Bastfibres, other","1990","1990","ha","311200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","782","Bastfibres, other","1991","1991","ha","301600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","782","Bastfibres, other","1992","1992","ha","263800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","782","Bastfibres, other","1993","1993","ha","254200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","782","Bastfibres, other","1994","1994","ha","252800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","782","Bastfibres, other","1995","1995","ha","249300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","782","Bastfibres, other","1996","1996","ha","203000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","782","Bastfibres, other","1997","1997","ha","190000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","782","Bastfibres, other","1998","1998","ha","177100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","782","Bastfibres, other","1999","1999","ha","185800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","782","Bastfibres, other","2000","2000","ha","188700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","782","Bastfibres, other","2001","2001","ha","189700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","782","Bastfibres, other","2002","2002","ha","174100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","782","Bastfibres, other","2003","2003","ha","170800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","782","Bastfibres, other","2004","2004","ha","152500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","782","Bastfibres, other","2005","2005","ha","141800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","782","Bastfibres, other","2006","2006","ha","137900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","782","Bastfibres, other","2007","2007","ha","144000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","782","Bastfibres, other","2008","2008","ha","135000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","782","Bastfibres, other","2009","2009","ha","120000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","782","Bastfibres, other","2010","2010","ha","87000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","782","Bastfibres, other","2011","2011","ha","91000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","782","Bastfibres, other","2012","2012","ha","87000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","782","Bastfibres, other","2013","2013","ha","100000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","782","Bastfibres, other","2014","2014","ha","88325","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","782","Bastfibres, other","2015","2015","ha","81031","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","782","Bastfibres, other","2016","2016","ha","74990","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","782","Bastfibres, other","2017","2017","ha","69593","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","782","Bastfibres, other","2018","2018","ha","64243","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","782","Bastfibres, other","2019","2019","ha","58939","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","1990","1990","ha","9790700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","1991","1991","ha","9682000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","1992","1992","ha","8745000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","1993","1993","ha","8542000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","1994","1994","ha","8361000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","1995","1995","ha","7833700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","1996","1996","ha","8416400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","1997","1997","ha","8418400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","1998","1998","ha","7394000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","1999","1999","ha","5970300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","2000","2000","ha","5845200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","2001","2001","ha","6019700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","2002","2002","ha","7851300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","2003","2003","ha","9274600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","2004","2004","ha","8782800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","2005","2005","ha","8047000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","2006","2006","ha","8549300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","2007","2007","ha","10000000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","2008","2008","ha","8000000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","2009","2009","ha","6000000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","2010","2010","ha","11000000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","2011","2011","ha","11000000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","2012","2012","ha","9100000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","2013","2013","ha","9100000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","2014","2014","ha","10000000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","2015","2015","ha","10289384","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","2016","2016","ha","14191848","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","2017","2017","ha","15213726","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","2018","2018","ha","14895604","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","2019","2019","ha","12690696","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","414","Beans, green","1990","1990","ha","134666","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","414","Beans, green","1991","1991","ha","143000","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","414","Beans, green","1992","1992","ha","143728","Im","FAO data based on imputation methodology"
