CropItem,Year,AreaHarvested(ha)
Cherries,2005,3059.0
Cherries,2006,3089.0
Cherries,2007,3137.0
Cherries,2008,3167.0
Cherries,2009,3186.0
Cherries,2010,3226.0
Cherries,2011,3266.0
Cherries,2012,3300.0
Cherries,2013,3300.0
Cherries,2014,3500.0
Cherries,2015,3599.0
Cherries,2016,3528.0
Cherries,2017,3539.0
Cherries,2018,3567.0
Cherries,2019,3595.0
Chick peas,1990,6470500.0
Chick peas,1991,7521300.0
Chick peas,1992,5579900.0
Chick peas,1993,6453700.0
Chick peas,1994,6358900.0
Chick peas,1995,7543000.0
Chick peas,1996,7116000.0
Chick peas,1997,6846700.0
Chick peas,1998,7563200.0
Chick peas,1999,8469100.0
Chick peas,2000,6146300.0
Chick peas,2001,5185300.0
Chick peas,2002,6416200.0
Chick peas,2003,5906400.0
Chick peas,2004,7048100.0
Chick peas,2005,6714600.0
Chick peas,2006,6896200.0
Chick peas,2007,7493900.0
Chick peas,2008,7543700.0
Chick peas,2009,7890000.0
Chick peas,2010,8170000.0
Chick peas,2011,9190000.0
Chick peas,2012,8320000.0
Chick peas,2013,8522000.0
Chick peas,2014,9927000.0
Chick peas,2015,8251000.0
Chick peas,2016,8399000.0
Chick peas,2017,9626160.0
Chick peas,2018,10560430.0
Chick peas,2019,9547030.0
"Chillies and peppers, dry",1990,816200.0
"Chillies and peppers, dry",1991,846600.0
"Chillies and peppers, dry",1992,962100.0
"Chillies and peppers, dry",1993,930000.0
"Chillies and peppers, dry",1994,829100.0
"Chillies and peppers, dry",1995,883000.0
"Chillies and peppers, dry",1996,944000.0
"Chillies and peppers, dry",1997,840600.0
"Chillies and peppers, dry",1998,891200.0
"Chillies and peppers, dry",1999,959200.0
"Chillies and peppers, dry",2000,836500.0
"Chillies and peppers, dry",2001,880000.0
"Chillies and peppers, dry",2002,828600.0
"Chillies and peppers, dry",2003,774300.0
"Chillies and peppers, dry",2004,737500.0
"Chillies and peppers, dry",2005,654900.0
"Chillies and peppers, dry",2006,758000.0
"Chillies and peppers, dry",2007,808170.0
"Chillies and peppers, dry",2008,779050.0
"Chillies and peppers, dry",2009,767230.0
"Chillies and peppers, dry",2010,792100.0
"Chillies and peppers, dry",2011,804792.0
"Chillies and peppers, dry",2012,793590.0
"Chillies and peppers, dry",2013,775000.0
"Chillies and peppers, dry",2014,775000.0
"Chillies and peppers, dry",2015,761000.0
"Chillies and peppers, dry",2016,811140.0
"Chillies and peppers, dry",2017,840000.0
"Chillies and peppers, dry",2018,752000.0
"Chillies and peppers, dry",2019,780000.0
"Chillies and peppers, green",1990,4750.0
"Chillies and peppers, green",1991,4783.0
"Chillies and peppers, green",1992,4800.0
"Chillies and peppers, green",1993,4830.0
"Chillies and peppers, green",1994,4900.0
"Chillies and peppers, green",1995,5000.0
"Chillies and peppers, green",1996,5200.0
"Chillies and peppers, green",1997,5300.0
"Chillies and peppers, green",1998,5400.0
"Chillies and peppers, green",1999,5463.0
"Chillies and peppers, green",2000,5500.0
"Chillies and peppers, green",2001,5598.0
"Chillies and peppers, green",2002,5707.0
"Chillies and peppers, green",2003,5757.0
"Chillies and peppers, green",2004,5814.0
"Chillies and peppers, green",2005,5924.0
"Chillies and peppers, green",2006,5800.0
"Chillies and peppers, green",2007,6267.0
"Chillies and peppers, green",2008,6551.0
"Chillies and peppers, green",2009,6864.0
"Chillies and peppers, green",2010,7188.0
"Chillies and peppers, green",2011,7502.0
"Chillies and peppers, green",2012,8000.0
"Chillies and peppers, green",2013,8000.0
"Chillies and peppers, green",2014,8215.0
"Chillies and peppers, green",2015,8644.0
"Chillies and peppers, green",2016,8969.0
"Chillies and peppers, green",2017,9274.0
"Chillies and peppers, green",2018,9581.0
"Chillies and peppers, green",2019,9892.0
"Cocoa, beans",1990,20000.0
"Cocoa, beans",1991,20000.0
"Cocoa, beans",1992,20000.0
"Cocoa, beans",1993,20000.0
"Cocoa, beans",1994,11883.0
"Cocoa, beans",1995,10727.0
"Cocoa, beans",1996,11780.0
"Cocoa, beans",1997,12394.0
"Cocoa, beans",1998,12038.0
"Cocoa, beans",1999,12402.0
"Cocoa, beans",2000,16185.0
"Cocoa, beans",2001,15740.0
"Cocoa, beans",2002,16130.0
"Cocoa, beans",2003,21893.0
"Cocoa, beans",2004,25157.0
"Cocoa, beans",2005,27811.0
"Cocoa, beans",2006,29471.0
"Cocoa, beans",2007,30341.0
"Cocoa, beans",2008,31885.0
"Cocoa, beans",2009,34049.0
"Cocoa, beans",2010,46300.0
"Cocoa, beans",2011,56500.0
"Cocoa, beans",2012,63000.0
"Cocoa, beans",2013,66000.0
"Cocoa, beans",2014,71000.0
"Cocoa, beans",2015,78000.0
"Cocoa, beans",2016,81000.0
"Cocoa, beans",2017,83000.0
"Cocoa, beans",2018,89000.0
"Cocoa, beans",2019,94000.0
Coconuts,1990,1475000.0
Coconuts,1991,1529000.0
Coconuts,1992,1537700.0
Coconuts,1993,1635100.0
Coconuts,1994,1713800.0
Coconuts,1995,1833000.0
Coconuts,1996,1891000.0
Coconuts,1997,1861000.0
Coconuts,1998,1754500.0
Coconuts,1999,1768100.0
Coconuts,2000,1770000.0
Coconuts,2001,1840000.0
Coconuts,2002,1930000.0
Coconuts,2003,1921800.0
Coconuts,2004,1933700.0
Coconuts,2005,1935000.0
Coconuts,2006,1946800.0
Coconuts,2007,1940000.0
Coconuts,2008,1903200.0
Coconuts,2009,1895200.0
Coconuts,2010,1895900.0
Coconuts,2011,2070820.0
Coconuts,2012,2137000.0
Coconuts,2013,2140000.0
Coconuts,2014,1975800.0
Coconuts,2015,2088500.0
Coconuts,2016,2082000.0
Coconuts,2017,2081000.0
Coconuts,2018,2097000.0
Coconuts,2019,2151000.0
"Coffee, green",1990,221000.0
"Coffee, green",1991,223500.0
"Coffee, green",1992,223500.0
"Coffee, green",1993,223500.0
"Coffee, green",1994,226500.0
"Coffee, green",1995,228500.0
"Coffee, green",1996,242000.0
"Coffee, green",1997,251284.0
"Coffee, green",1998,285652.0
"Coffee, green",1999,302234.0
"Coffee, green",2000,308433.0
"Coffee, green",2001,313934.0
"Coffee, green",2002,320737.0
"Coffee, green",2003,320615.0
"Coffee, green",2004,325124.0
"Coffee, green",2005,333338.0
"Coffee, green",2006,341351.0
"Coffee, green",2007,343040.0
"Coffee, green",2008,344508.0
"Coffee, green",2009,350500.0
"Coffee, green",2010,355502.0
"Coffee, green",2011,360485.0
"Coffee, green",2012,368687.0
"Coffee, green",2013,376305.0
"Coffee, green",2014,381304.0
"Coffee, green",2015,423270.0
"Coffee, green",2016,434436.0
"Coffee, green",2017,449357.0
"Coffee, green",2018,413020.0
"Coffee, green",2019,416741.0
Cucumbers and gherkins,1990,15900.0
Cucumbers and gherkins,1991,16288.0
Cucumbers and gherkins,1992,16500.0
Cucumbers and gherkins,1993,16700.0
Cucumbers and gherkins,1994,16900.0
Cucumbers and gherkins,1995,17000.0
Cucumbers and gherkins,1996,17200.0
Cucumbers and gherkins,1997,17300.0
Cucumbers and gherkins,1998,17500.0
Cucumbers and gherkins,1999,17800.0
Cucumbers and gherkins,2000,18000.0
Cucumbers and gherkins,2001,18193.0
Cucumbers and gherkins,2002,18627.0
Cucumbers and gherkins,2003,19087.0
Cucumbers and gherkins,2004,19581.0
Cucumbers and gherkins,2005,20070.0
Cucumbers and gherkins,2006,21802.0
Cucumbers and gherkins,2007,22557.0
Cucumbers and gherkins,2008,23362.0
Cucumbers and gherkins,2009,24164.0
Cucumbers and gherkins,2010,24917.0
Cucumbers and gherkins,2011,25610.0
Cucumbers and gherkins,2012,26500.0
Cucumbers and gherkins,2013,26500.0
Cucumbers and gherkins,2014,26767.0
Cucumbers and gherkins,2015,28545.0
Cucumbers and gherkins,2016,29395.0
Cucumbers and gherkins,2017,30185.0
Cucumbers and gherkins,2018,30978.0
Cucumbers and gherkins,2019,31776.0
Eggplants (aubergines),1990,295000.0
Eggplants (aubergines),1991,300000.0
Eggplants (aubergines),1992,194000.0
Eggplants (aubergines),1993,252000.0
Eggplants (aubergines),1994,280000.0
Eggplants (aubergines),1995,420000.0
Eggplants (aubergines),1996,409514.0
Eggplants (aubergines),1997,430000.0
Eggplants (aubergines),1998,480000.0
Eggplants (aubergines),1999,490000.0
Eggplants (aubergines),2000,500000.0
Eggplants (aubergines),2001,470000.0
Eggplants (aubergines),2002,500000.0
Eggplants (aubergines),2003,500000.0
Eggplants (aubergines),2004,516400.0
Eggplants (aubergines),2005,526500.0
Eggplants (aubergines),2006,559700.0
Eggplants (aubergines),2007,568000.0
Eggplants (aubergines),2008,561000.0
Eggplants (aubergines),2009,600300.0
Eggplants (aubergines),2010,612400.0
Eggplants (aubergines),2011,680000.0
Eggplants (aubergines),2012,692000.0
Eggplants (aubergines),2013,722000.0
Eggplants (aubergines),2014,711310.0
Eggplants (aubergines),2015,673000.0
Eggplants (aubergines),2016,663000.0
Eggplants (aubergines),2017,733000.0
Eggplants (aubergines),2018,730000.0
Eggplants (aubergines),2019,727000.0
Figs,1990,2100.0
Figs,1991,2200.0
Figs,1992,2400.0
Figs,1993,2600.0
Figs,1994,2974.0
Figs,1995,3349.0
Figs,1996,3613.0
